기업명,RIM기업가치,매출액증가율,순이익증가율,유동비율,순운전자본비율,부채비율,자기자본비율,매출총이익률,ROA,ROI,총자산회전율
신세계인터내셔날,15696.34734,0.07106424,0.438256659,1.93800921,0.207085321,0.533765143,0.651990303,0.126198597,0.090169704,0.092906859,1.215218581
클리오,1332.093943,0.171035668,0.086021505,2.941043084,0.35096351,0.280987395,0.780647806,0.136880734,0.073390734,0.041410414,1.117261173
제일기획,24929.1471,0.278948793,0.168257757,1.642707397,0.311986625,1.252660881,0.443919459,0.085602107,0.113178745,0.071163771,1.545903903
이노션,8884.568603,0.165379494,0.029850746,1.475897688,0.253482381,1.620366133,0.381642723,0.101176874,0.059779049,0.039168595,0.764333435
BGF리테일,25986.63041,0.123075562,0.31097561,0.80738523,-0.072058923,2.060669021,0.326725952,0.0439875,0.085669676,0.065677822,2.584956894
코스맥스,2621.773795,0.005403707,-1.478134111,0.907881773,-0.053562478,2.143628996,0.318080917,0.034685332,0.038023631,-0.011743645,1.145793054
호텔신라,-5998.519159,0.302426504,-2.852398524,1.132312404,0.058805513,4.443868099,0.183699166,0.152803738,0.026646248,-0.017083546,1.675004254
연우,45.85290482,-0.182514803,-0.984848485,2.622516556,0.250340599,0.187626365,0.842302452,0.011504048,0.004427793,0.001362398,0.799386921
티앤엘,2823.650185,0.134909597,0.076530612,7.485714286,0.388034188,0.10273327,0.906837607,0.419117647,0.207692308,0.18034188,0.697435897
클래시스,10878.3288,0.409542744,0.721461187,4.082872928,0.336753168,0.443815331,0.692818346,0.212976023,0.207905854,0.227519614,0.427881714
제노레이,1813.300371,0.111709287,-0.027972028,3.908571429,0.479284369,0.206818182,0.828625235,0.088377724,0.140301318,0.130885122,0.777777778
에스앤에스텍,2252.321384,0.25,0.52173913,3.08852459,0.280864198,0.191176471,0.839506173,0.093927126,0.070546737,0.077160494,0.544532628
한솔제지,9525.478368,0.340093774,4.386861314,0.931165111,-0.033710407,1.976430976,0.335972851,0.032384052,0.058914027,0.033393665,1.112217195
웹젠,9511.427689,-0.149929775,-0.166858458,5.83891547,0.469006029,0.126218663,0.887927037,0.176786452,0.12830422,0.11191838,0.374246406
송원산업,18157.66625,0.331897415,0.85252809,1.68490099,0.227306334,0.78332845,0.560749199,0.030913877,0.152057833,0.108354555,1.092171199
엔비티,-55.17923362,0.313106796,-1.294117647,1.712765957,0.160864346,1.239247312,0.446578631,0.22181146,0.027611044,-0.006002401,1.298919568
롯데케미칼,7678.024722,0.22933142,-0.980333899,1.482800752,0.115073587,0.551447504,0.644556947,0.011604365,-0.028471584,0.00103791,0.831675664
솔루엠,6089.777503,0.469262117,2.413533835,1.260235641,0.170840182,2.566551724,0.280382868,0.047683683,0.073092913,0.043894421,1.638306101
더존비즈온,2744.969098,-0.045183558,-0.575367647,1.045025418,0.007443871,0.899429875,0.526473766,0.109431482,0.054628407,0.027734422,0.365349982
덴티움,11951.85909,0.220926244,0.551351351,1.324465765,0.110287578,0.807609861,0.553216721,0.144422591,0.186332642,0.127631189,0.527571894
컴투스,4068.862794,0.283515303,-1.07654321,3.678836281,0.246070006,0.43233506,0.698124083,0.549435225,-0.008750786,-0.004873192,0.375759799
스튜디오드래곤,6141.488257,0.432765346,0.297435897,1.266339869,0.044833593,0.650673528,0.60575777,0.143287004,0.059778124,0.046392225,0.639864307
제이시스메디칼,4209.475896,0.434194342,1,2.80075188,0.405588484,0.4775,0.677392041,0.167238422,0.287891617,0.228619814,0.987298899
오스템임플란트,21296.21755,0.277589134,5.162393162,0.748095756,-0.168694892,2.785655172,0.264155068,0.173232084,0.170953873,0.105079064,0.767689281
CJ ENM,-14401.99753,0.349003491,-1.776801406,0.728005247,-0.11238652,1.37833483,0.420462244,0.073494428,0.013298233,-0.017111554,0.46381216
쿠콘,451.0605686,0.050488599,-0.472222222,1.794793262,0.284851811,0.408037094,0.710208562,1,0.109769484,0.020856202,0.354006586
코웨이,62120.81088,0.052342876,-0.016541353,1.216156432,0.055966645,0.888019031,0.529655678,0.15873551,0.155185448,0.104877322,0.883393279
NHN,-3808.726823,0.099391797,-1.245181187,1.805354752,0.198862885,0.518369805,0.658601084,0.259255757,0.012924765,-0.010511702,0.699094275
휴비츠,2276.440049,0.151578947,0.824175824,1.273056058,0.085214447,0.619744059,0.61738149,0.10511883,0.107223476,0.093679458,0.61738149
바텍,10664.66007,0.165486726,0.418772563,2.67988107,0.331637644,0.406439185,0.711015457,0.120728929,0.155742516,0.153785952,0.773038544
레이언스,2880.270705,0.093610698,0.546099291,5.254742547,0.599236641,0.161862528,0.860687023,0.425271739,0.096946565,0.083206107,0.561832061
SK네트웍스,10812.20272,-0.122679954,-0.122705314,0.757665788,-0.091017233,2.876117028,0.257987431,0.031780187,0.016232775,0.009558599,1.01759077
자이언트스텝,-1470.477132,0.222891566,2.628571429,8.560283688,0.728639781,0.189430894,0.840738209,1,-0.122351333,-0.086807929,0.277511962
금호석유,133510.1607,-0.057458224,-0.478174603,1.875581077,0.16592178,0.365426115,0.732372106,0.02460003,0.148679284,0.132874743,1.033202492
삼양패키징,1580.091471,0.039550906,-0.600660066,2.187422935,0.149859944,0.779562448,0.561935885,0.029455081,0.036881419,0.018829754,0.633986928
정상제이엘에스,1707.945612,0.089478859,-0.022058824,0.82967033,-0.03109328,0.281491003,0.780341023,0.066787004,0.167502508,0.133400201,1.111334002
와이더플래닛,-871.3720643,0.011299435,1.375,3.982905983,0.712244898,5.621621622,0.151020408,0.583798883,-0.128571429,-0.387755102,0.730612245
쿠쿠홈시스,15302.42274,0.111097951,-0.125858124,2.164910432,0.21740413,0.279889252,0.781317601,0.151582987,0.117895772,0.112684366,0.922418879
환인제약,3034.066749,0.118672666,-0.105660377,6.20754717,0.448294532,0.106019766,0.903898213,0.120160885,0.080671359,0.064158094,0.538440715
KG모빌리언스,3579.05686,-0.099184339,-0.085034014,2.664484452,0.42893294,0.498735777,0.667229017,0.077145962,0.084985238,0.056727119,0.582243779
그린플러스,-333.5352287,-0.002403846,-0.255319149,2.609243697,0.361320755,0.746293245,0.572641509,0.119277108,0.033962264,-0.033018868,0.783018868
SNT모티브,10952.18789,0.109589041,0.092384519,2.605799103,0.379600163,0.394197952,0.717258262,0.038281175,0.09130967,0.071399429,0.852631579
파마리서치,5311.724351,0.264114212,-0.072649573,4.308333333,0.332148086,0.286252354,0.777452416,0.726386037,0.137837273,0.090775988,0.407446141
무림P&P,5746.004944,0.261365488,1.30964467,1.027613078,0.010161461,1.420552286,0.413128857,0.038367136,0.042578393,0.028364815,0.482575899
롯데정밀화학,18461.36218,0.383924058,-0.75029889,3.315617128,0.339250129,0.181152471,0.846630748,0.030156669,0.149199203,0.053952321,0.909218393
KCC,4238.47466,0.153177075,-1.539473684,1.404405102,0.088455235,1.363207292,0.423150513,0.046259668,0.035651942,0.00218775,0.516430994
